                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0955,                 2.6224,                 1.0011,                 0.9813,                0.97582,                0.98383,                0.64585,                 1.0718,                 1.3122,                0.96988,             0.00025722,             0.00025722,             0.00025722
                      2,                0.95364,                0.66099,                0.98122,                0.99681,                0.98214,                0.99123,                0.64693,                 1.0525,                0.70108,                  1.038,              0.0005171,              0.0005171,              0.0005171
                      3,                0.94061,                0.56279,                 1.0058,                0.99134,                0.97486,                0.98109,                 0.6668,                 1.0158,                 0.6869,                 1.0721,             0.00076503,             0.00076503,             0.00076503
                      4,                0.93403,                 0.5254,                 1.0113,                0.98342,                0.98577,                0.99018,                0.67164,                 1.0695,                0.70262,                 1.0712,               0.001001,               0.001001,               0.001001
                      5,                0.95096,                0.52424,                  1.015,                0.99718,                0.97882,                0.99397,                0.69434,                 1.0433,                0.59799,                 1.0438,              0.0012251,              0.0012251,              0.0012251
                      6,                 0.9492,                0.50096,                 1.0043,                0.99826,                0.99269,                 0.9946,                0.65473,                 1.0627,                0.51298,                 1.0382,              0.0012718,              0.0012718,              0.0012718
                      7,                0.93717,                0.47557,                0.99803,                0.99032,                 0.9872,                0.99326,                0.70296,                0.94245,                0.54048,                0.98763,              0.0012404,              0.0012404,              0.0012404
                      8,                0.93236,                0.46044,                0.99677,                0.99526,                0.99582,                0.99495,                0.65396,                 1.0773,                0.47184,                 1.0718,              0.0012089,              0.0012089,              0.0012089
                      9,                 0.9175,                0.44383,                0.99009,                0.98555,                0.87972,                0.93809,                0.65317,                 1.1058,                0.62846,                 1.0714,              0.0011775,              0.0011775,              0.0011775
                     10,                0.93229,                0.45664,                 1.0118,                0.99219,                0.99352,                0.99371,                0.70529,                0.98205,                0.45031,                 1.0171,              0.0011461,              0.0011461,              0.0011461
                     11,                 0.9344,                0.45139,                 1.0059,                0.99176,                0.99347,                0.99486,                0.67628,                  1.046,                0.48269,                 1.0362,              0.0011146,              0.0011146,              0.0011146
